CUSTOMER_PK,SALUTATION,FIRST_NAME,LAST_NAME,GENDER,MARITAL_STATUS,DAY_OF_BIRTH,BIRTH_COUNTRY,EMAIL_ADDRESS,CITY_NAME,ZIP_CODE,COUNTRY_NAME,GMT_TIMEZONE_OFFSET,PREFERRED_CUST_FLAG,REGISTRATION_TIME,
25335656,Dr.,Leo,Brown,F,D,6/16/1930,Madagascar,leo.brown@7uemf93n6mhfdf8.edu,Brownsville,59310,United States,-6,TRUE,43:20.8,
25335678,Mrs.,Melissa,Hendrickson,M,S,3/15/1928,Romania,melissa.hendrickson@7d4vctbyz9tcmcds.org,Whitehall,77595,United States,-6,TRUE,43:20.8,
25335682,Mrs.,Louise,Cobb,F,S,9/9/1951,Mali,louise.cobb@suqxozlxknl.com,Florence,33394,United States,-6,TRUE,43:20.8,
25335724,Sir,Eugene,Jimenez,M,S,5/28/1929,French Polynesia,eugene.jimenez@a2kmgxvma.edu,Belmont,70191,United States,-6,TRUE,43:20.8,
25335730,Dr.,Joyce,Ferguson,F,M,9/15/1973,Cambodia,joyce.ferguson@9o.com,Macedonia,61087,United States,-6,FALSE,43:20.8,
25335750,Dr.,Jack,Mcclellan,F,S,10/1/1938,Solomon Islands,jack.mcclellan@khbdi8fv1d.org,Green Acres,77683,United States,-6,TRUE,43:20.8,
25335753,Ms.,Amanda,Howell,F,U,8/3/1932,Togo,amanda.howell@mg8kq.com,Franklin,39101,United States,-6,TRUE,43:20.8,
25335764,Mr.,Christopher,Coffey,F,D,7/23/1986,Sweden,christopher.coffey@yhrz6mqmpct1hvz8.edu,Forest Hills,69237,United States,-6,TRUE,43:20.8,
25335773,Sir,Joesph,Bachman,F,M,8/13/1970,American Samoa,joesph.bachman@9cdgttsvtyi.org,Quincy,33868,United States,-5,FALSE,43:20.8,
25335797,Mr.,Gilbert,Hawkins,M,D,5/3/1938,Namibia,gilbert.hawkins@lxfggyid96jez.org,Stringtown,40162,United States,-5,TRUE,43:20.8,
25335810,Sir,Cory,Thompson,M,D,9/9/1992,Gibraltar,cory.thompson@uymkcy131xkbi.org,Forest Hills,59237,United States,-6,FALSE,43:20.8,
25335835,Mr.,Phillip,Brewer,M,M,2/3/1972,Jordan,phillip.brewer@ukgbmtx9tqs.edu,Oakdale,99584,United States,-8,FALSE,43:20.8,
25335892,Mr.,Robert,Sprague,M,S,4/22/1981,Panama,robert.sprague@sasuaqmanu.com,Aberdeen,67995,United States,-6,FALSE,43:20.8,
25335899,Sir,John,Wright,M,S,8/10/1971,Slovakia,john.wright@q3gzytav.org,Riverside,,,-6,TRUE,43:20.8,
25335900,Miss,Jacalyn,Mccartney,M,M,1/17/1954,Comoros,jacalyn.mccartney@c0laaioaq.org,Unionville,71711,United States,-6,TRUE,43:20.8,
25335923,Mr.,Richard,Fox,F,W,4/12/1962,San Marino,richard.fox@rjx45ujx.edu,Oak Ridge,28371,United States,-5,TRUE,43:20.8,
25335926,Miss,Claudia,Freeman,F,S,6/25/1952,Brazil,claudia.freeman@y3fadijxnuajc.com,Rosewood,52205,United States,-6,FALSE,43:20.8,
25335938,Mr.,Herman,Scott,M,M,4/17/1932,Iraq,herman.scott@uvecz4mv98.org,Midway,2504,United States,-5,FALSE,43:20.8,
