CUSTOMER_PK,SALUTATION,FIRST_NAME,LAST_NAME,GENDER,MARITAL_STATUS,DAY_OF_BIRTH,BIRTH_COUNTRY,EMAIL_ADDRESS,CITY_NAME,ZIP_CODE,COUNTRY_NAME,GMT_TIMEZONE_OFFSET,PREFERRED_CUST_FLAG,REGISTRATION_TIME
25335656,Dr.,Leo,Brown,F,D,1930-06-16,Madagascar,leo.brown@7uemf93n6mhfdf8.edu,Brownsville,59310,United States,-6.00,TRUE,2022-10-03 22:43:20.810 -0700
25335678,Mrs.,Melissa,Hendrickson,M,S,1928-03-15,Romania,melissa.hendrickson@7d4vctbyz9tcmcds.org,Whitehall,77595,United States,-6.00,TRUE,2022-10-03 22:43:20.810 -0700
25335682,Mrs.,Louise,Cobb,F,S,1951-09-09,Mali,louise.cobb@suqxozlxknl.com,Florence,33394,United States,-6.00,TRUE,2022-10-03 22:43:20.810 -0700
25335724,Sir,Eugene,Jimenez,M,S,1929-05-28,French Polynesia,eugene.jimenez@a2kmgxvma.edu,Belmont,70191,United States,-6.00,TRUE,2022-10-03 22:43:20.810 -0700
25335730,Dr.,Joyce,Ferguson,F,M,1973-09-15,Cambodia,joyce.ferguson@9o.com,Macedonia,61087,United States,-6.00,FALSE,2022-10-03 22:43:20.810 -0700
25335750,Dr.,Jack,Mcclellan,F,S,1938-10-01,Solomon Islands,jack.mcclellan@khbdi8fv1d.org,Green Acres,77683,United States,-6.00,TRUE,2022-10-03 22:43:20.810 -0700
25335753,Ms.,Amanda,Howell,F,U,1932-08-03,Togo,amanda.howell@mg8kq.com,Franklin,39101,United States,-6.00,TRUE,2022-10-03 22:43:20.810 -0700
25335764,Mr.,Christopher,Coffey,F,D,1986-07-23,Sweden,christopher.coffey@yhrz6mqmpct1hvz8.edu,Forest Hills,69237,United States,-6.00,TRUE,2022-10-03 22:43:20.810 -0700
25335773,Sir,Joesph,Bachman,F,M,1970-08-13,American Samoa,joesph.bachman@9cdgttsvtyi.org,Quincy,33868,United States,-5.00,FALSE,2022-10-03 22:43:20.810 -0700
25335797,Mr.,Gilbert,Hawkins,M,D,1938-05-03,Namibia,gilbert.hawkins@lxfggyid96jez.org,Stringtown,40162,United States,-5.00,TRUE,2022-10-03 22:43:20.810 -0700
25335810,Sir,Cory,Thompson,M,D,1992-09-09,Gibraltar,cory.thompson@uymkcy131xkbi.org,Forest Hills,59237,United States,-6.00,FALSE,2022-10-03 22:43:20.810 -0700
25335835,Mr.,Phillip,Brewer,M,M,1972-02-03,Jordan,phillip.brewer@ukgbmtx9tqs.edu,Oakdale,99584,United States,-8.00,FALSE,2022-10-03 22:43:20.810 -0700
25335892,Mr.,Robert,Sprague,M,S,1981-04-22,Panama,robert.sprague@sasuaqmanu.com,Aberdeen,67995,United States,-6.00,FALSE,2022-10-03 22:43:20.810 -0700
25335899,Sir,John,Wright,M,S,1971-08-10,Slovakia,john.wright@q3gzytav.org,Riverside,,,-6.00,TRUE,2022-10-03 22:43:20.810 -0700
25335900,Miss,Jacalyn,Mccartney,M,M,1954-01-17,Comoros,jacalyn.mccartney@c0laaioaq.org,Unionville,71711,United States,-6.00,TRUE,2022-10-03 22:43:20.810 -0700
25335923,Mr.,Richard,Fox,F,W,1962-04-12,San Marino,richard.fox@rjx45ujx.edu,Oak Ridge,28371,United States,-5.00,TRUE,2022-10-03 22:43:20.810 -0700
25335926,Miss,Claudia,Freeman,F,S,1952-06-25,Brazil,claudia.freeman@y3fadijxnuajc.com,Rosewood,52205,United States,-6.00,FALSE,2022-10-03 22:43:20.810 -0700
25335938,Mr.,Herman,Scott,M,M,1932-04-17,Iraq,herman.scott@uvecz4mv98.org,Midway,02504,United States,-5.00,FALSE,2022-10-03 22:43:20.810 -0700
25335956,Miss,Anna,Earley,M,D,1952-08-31,Guinea,anna.earley@rujxvpmasbiesmyrl.com,Bethel,,,-5.00,TRUE,2022-10-03 22:43:20.810 -0700
25335957,Ms.,Nina,Delarosa,M,D,1945-08-13,Bhutan,nina.delarosa@la7xopy9l6k2zlnyt.org,Wildwood,36871,United States,-5.00,TRUE,2022-10-03 22:43:20.810 -0700
25336013,Miss,Gertrude,Snow,F,W,1958-02-03,Djibouti,gertrude.snow@so34iu1eopyxxyl.com,Riverside,69231,United States,-6.00,TRUE,2022-10-03 22:43:20.810 -0700
25336021,Mrs.,Deborah,Hodges,F,W,1987-10-01,Chile,deborah.hodges@tj.com,Stringtown,10162,United States,-5.00,FALSE,2022-10-03 22:43:20.810 -0700
25336031,Mr.,Travis,Stephens,M,U,1938-03-17,Montserrat,travis.stephens@askmvth4y4t.edu,Riverside,69231,United States,-6.00,TRUE,2022-10-03 22:43:20.810 -0700
